file_name,model,format,style,total_beginning,correct_beginning,total_middle,correct_middle,total_end,correct_end,total_unknown,Total Counts,Total Correct
story_analogies_far_llama3_prompt_templates-story_analogies-1_basic_prompt_not_forced-1.csv,llama,1_basic,1,28,18,2,1,6,5,0,36,24
story_analogies_far_llama3_prompt_templates-story_analogies-1_basic_prompt_not_forced-2.csv,llama,1_basic,2,36,26,0,0,0,0,0,36,26
story_analogies_far_llama3_prompt_templates-story_analogies-1_basic_prompt_not_forced-3.csv,llama,1_basic,3,10,9,0,0,23,13,3,33,22
story_analogies_far_llama3_prompt_templates-story_analogies-2_basic_prompt_forced-1.csv,llama,2_basic,1,36,19,0,0,0,0,0,36,19
story_analogies_far_llama3_prompt_templates-story_analogies-2_basic_prompt_forced-2.csv,llama,2_basic,2,36,26,0,0,0,0,0,36,26
story_analogies_far_llama3_prompt_templates-story_analogies-2_basic_prompt_forced-3.csv,llama,2_basic,3,36,25,0,0,0,0,0,36,25
story_analogies_far_llama3_prompt_templates-story_analogies-3_cot-1.csv,llama,3_cot,1,0,0,1,1,35,22,0,36,23
story_analogies_far_llama3_prompt_templates-story_analogies-3_cot-2.csv,llama,3_cot,2,0,0,0,0,28,16,8,28,16
story_analogies_far_llama3_prompt_templates-story_analogies-3_cot-3.csv,llama,3_cot,3,0,0,0,0,31,19,5,31,19
story_analogies_far_llama3_prompt_templates-story_analogies-4_cot_structured-1.csv,llama,4_cot,1,0,0,0,0,35,24,1,35,24
story_analogies_far_llama3_prompt_templates-story_analogies-4_cot_structured-2.csv,llama,4_cot,2,0,0,0,0,36,23,0,36,23
story_analogies_far_llama3_prompt_templates-story_analogies-4_cot_structured-3.csv,llama,4_cot,3,0,0,0,0,36,25,0,36,25
story_analogies_far_mistral7b_prompt_templates-story_analogies-1_basic_prompt_not_forced-1.csv,mistral7b,1_basic,1,36,24,0,0,0,0,0,36,24
story_analogies_far_mistral7b_prompt_templates-story_analogies-1_basic_prompt_not_forced-2.csv,mistral7b,1_basic,2,36,25,0,0,0,0,0,36,25
story_analogies_far_mistral7b_prompt_templates-story_analogies-1_basic_prompt_not_forced-3.csv,mistral7b,1_basic,3,29,17,0,0,3,2,4,32,19
story_analogies_far_mistral7b_prompt_templates-story_analogies-2_basic_prompt_forced-1.csv,mistral7b,2_basic,1,36,24,0,0,0,0,0,36,24
story_analogies_far_mistral7b_prompt_templates-story_analogies-2_basic_prompt_forced-2.csv,mistral7b,2_basic,2,36,23,0,0,0,0,0,36,23
story_analogies_far_mistral7b_prompt_templates-story_analogies-2_basic_prompt_forced-3.csv,mistral7b,2_basic,3,34,22,0,0,0,0,2,34,22
story_analogies_far_mistral7b_prompt_templates-story_analogies-3_cot-1.csv,mistral7b,3_cot,1,11,7,7,1,18,12,0,36,20
story_analogies_far_mistral7b_prompt_templates-story_analogies-3_cot-2.csv,mistral7b,3_cot,2,24,19,2,2,7,1,3,33,22
story_analogies_far_mistral7b_prompt_templates-story_analogies-3_cot-3.csv,mistral7b,3_cot,3,2,0,4,0,18,6,12,24,6
story_analogies_far_mistral7b_prompt_templates-story_analogies-4_cot_structured-1.csv,mistral7b,4_cot,1,0,0,0,0,36,25,0,36,25
story_analogies_far_mistral7b_prompt_templates-story_analogies-4_cot_structured-2.csv,mistral7b,4_cot,2,0,0,1,0,35,22,0,36,22
story_analogies_far_mistral7b_prompt_templates-story_analogies-4_cot_structured-3.csv,mistral7b,4_cot,3,0,0,0,0,36,26,0,36,26
story_analogies_far_starling7b-beta_prompt_templates-story_analogies-1_basic_prompt_not_forced-1.csv,starling7b-beta,1_basic,1,31,23,0,0,5,3,0,36,26
story_analogies_far_starling7b-beta_prompt_templates-story_analogies-1_basic_prompt_not_forced-2.csv,starling7b-beta,1_basic,2,36,25,0,0,0,0,0,36,25
story_analogies_far_starling7b-beta_prompt_templates-story_analogies-1_basic_prompt_not_forced-3.csv,starling7b-beta,1_basic,3,36,24,0,0,0,0,0,36,24
story_analogies_far_starling7b-beta_prompt_templates-story_analogies-2_basic_prompt_forced-1.csv,starling7b-beta,2_basic,1,36,27,0,0,0,0,0,36,27
story_analogies_far_starling7b-beta_prompt_templates-story_analogies-2_basic_prompt_forced-2.csv,starling7b-beta,2_basic,2,36,26,0,0,0,0,0,36,26
story_analogies_far_starling7b-beta_prompt_templates-story_analogies-2_basic_prompt_forced-3.csv,starling7b-beta,2_basic,3,36,25,0,0,0,0,0,36,25
story_analogies_far_starling7b-beta_prompt_templates-story_analogies-3_cot-1.csv,starling7b-beta,3_cot,1,0,0,0,0,36,26,0,36,26
story_analogies_far_starling7b-beta_prompt_templates-story_analogies-3_cot-2.csv,starling7b-beta,3_cot,2,0,0,0,0,36,24,0,36,24
story_analogies_far_starling7b-beta_prompt_templates-story_analogies-3_cot-3.csv,starling7b-beta,3_cot,3,0,0,1,1,35,23,0,36,24
story_analogies_far_starling7b-beta_prompt_templates-story_analogies-4_cot_structured-1.csv,starling7b-beta,4_cot,1,0,0,0,0,36,22,0,36,22
story_analogies_far_starling7b-beta_prompt_templates-story_analogies-4_cot_structured-2.csv,starling7b-beta,4_cot,2,0,0,0,0,36,27,0,36,27
story_analogies_far_starling7b-beta_prompt_templates-story_analogies-4_cot_structured-3.csv,starling7b-beta,4_cot,3,0,0,1,1,35,26,0,36,27